date,index,atm_iv,iv_rank,action,sold_C,sold_P,premium,n_pos,gamma,delta,vega,nav,r
2023-03-13,6832.621,0.19458561769612642,48.05194805194805,hold,0,0,0.0,1,-1277671.3942946745,-4672.319905258653,-456203.2659753045,99504768.44915877,0.0
2023-03-14,6769.849,0.1684732473609178,23.225806451612904,hold,0,0,0.0,1,-1254303.0333815976,-4672.319905258653,-456203.2659753045,99504768.44915877,0.0
2023-03-15,6803.474,0.1577921830210629,14.102564102564102,hold,0,0,0.0,1,-1266793.9119304882,-4672.319905258653,-456203.2659753045,99504768.44915877,0.0
2023-03-16,6689.783,0.1688169267945264,24.840764331210192,hold,0,0,0.0,1,-1224809.5664235242,-4672.319905258653,-456203.2659753045,99504768.44915877,0.0
2023-03-17,6736.367,0.1623133108837661,17.088607594936708,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.003954172707033576
2023-03-20,6721.455,0.16659531516660692,21.38364779874214,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-21,6809.391,0.1574706191319708,13.750000000000002,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-22,6840.326,0.13732918919289336,1.8633540372670807,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-23,6868.835,0.1445885590946145,4.320987654320987,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-24,6867.952,0.11833683287753516,1.8404907975460123,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-27,6886.689,0.15748877578116743,15.853658536585366,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-28,6825.383,0.14288663527470533,4.242424242424243,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-29,6806.281,0.14339651489881144,4.819277108433735,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-30,6807.645,0.1377783966105198,3.592814371257485,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-03-31,6875.808,0.1350762593642082,2.380952380952381,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-03,6962.205,0.14187076940458426,5.325443786982249,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-04,6953.363,0.14964055493837253,9.411764705882353,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-06,6983.027,0.17879081364863653,38.01169590643275,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-07,7042.89,0.14698283462617306,8.13953488372093,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-10,6968.573,0.1433939794237271,6.358381502890173,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-11,6984.142,0.15933432443448414,20.689655172413794,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-12,7021.016,0.15861351161863418,20.57142857142857,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-13,6966.818,0.13305070387337264,2.272727272727273,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-14,7020.094,0.15600570552891913,18.07909604519774,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-17,7012.773,0.160067119483034,22.47191011235955,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-18,6997.072,0.15625396620046786,18.994413407821227,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-19,6965.576,0.13625408509924197,3.3333333333333335,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-20,6963.899,0.126874337080975,2.209944751381215,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-21,6773.512,0.13813788987250347,6.043956043956044,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-24,6725.271,0.15714562851400604,21.311475409836063,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-25,6603.239,0.16210394912554174,26.6304347826087,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-26,6624.4,0.16232569034783417,28.10810810810811,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-27,6633.493,0.15661106598175756,20.967741935483872,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-04-28,6723.305,0.13955698336044775,6.417112299465241,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-04,6733.969,0.13605565821899399,3.723404255319149,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-05,6653.653,0.14974825133081193,13.227513227513226,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-08,6702.5,0.1633017325020314,30.0,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-09,6611.637,0.16623884653083343,32.98429319371728,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-10,6627.311,0.17166548305379556,39.0625,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-11,6622.521,0.15867706784425106,24.870466321243523,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-12,6535.944,0.16438609362597095,31.443298969072163,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-15,6585.91,0.173143535118706,41.02564102564102,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
2023-05-16,6516.289,0.16265829575823637,29.591836734693878,hold,0,0,0.0,0,0.0,0.0,0.0,99898227.48878013,0.0
